"Literaturze na Świecie"	"Literatura na Świecie"	subst:sg:dat.loc:f
"Nowych Książkach"	"Nowe Książki"	subst:pl:loc:f
"Tygodniku Powszechnym"	"Tygodnik Powszechny"	subst:sg:loc:m3
42 . Autorskim Liceum Niepublicznym	42. Autorskie Liceum Niepubliczne	subst:sg:acc.loc:n:ncol
Centralnym Ośrodku Doskonalenia Nauczycieli	Centralny Ośrodek Doskonalenia Nauczycieli	subst:sg:loc.voc:m3
Instytutu Polonistyki Stosowanej	Instytut Polonistyki Stosowanej	subst:sg:gen:m3
Kuratorium Oświaty	Kuratorium Oświaty	subst:sg:nom.acc.voc:n:ncol
Liceum Ogólnokształcącego im . C . K . Norwida	Liceum Ogólnokształcącego im. C.K. Norwida	subst:sg:gen:n:ncol
Międzynarodowego Festiwalu Opowiadania	Międzynarodowy Festiwal Opowiadania	subst:sg:gen.loc.voc:m3
Moi przyjaciele	Moi przyjaciele	subst:pl:nom.voc:m1
Nagrodę Kulturalną Śląska	Nagroda Kulturalna Śląska	subst:sg:acc:f
Nagrodę Miast Partnerskich Torunia i Getyngi im . S . B . Lindego	Nagroda Miast Partnerskich Torunia i Getyngi im. S.B. Lindego	subst:sg:acc:f
Ośrodku Metodycznym	Ośrodek Metodyczny	subst:sg:loc:m3
Polskiego PEN Clubu	Polski PEN Club	subst:sg:gen:m3
Poradni Zdrowia Psychicznego	Poradnia Zdrowia Psychicznego	subst:sg:gen.dat.loc:f
Społecznej Rady Kultury	Społeczna Rada Kultury	subst:sg:nom:f
Uniwersytecie Warszawskim	Uniwersytet Warszawski	subst:sg:dat.voc:m1
Uniwersytetu Środkowoeuropejskiego	Uniwersytet Środkowoeuropejski	subst:sg:gen:m3
Zakładu Edukacji Literackiej	Zakład Edukacji Literackiej	subst:sg:gen:m3
Zakładzie Teorii Lektury i Metodyki Literatury	Zakład Teorii Lektury i Metodyki Literatury	subst:sg:loc.voc:m3
Zieloną Górą	Zielona Góra	subst:sg:inst:f
Światowego Dnia Poezji	Światowy Dzień Poezji	subst:sg:gen:m3
Świąteczne zabijanie ryby	Świąteczne zabijanie ryby	ger:sg:nom.acc:n:imperf:aff
