"Literatura na Świecie"	TYTUŁ
"Nowe Książki"	TYTUŁ
"Tygodnik Powszechny"	TYTUŁ
42. Autorskim Liceum Niepublicznym	ORGANIZACJA
Centralny Ośrodek Doskonalenia Nauczycieli	ORGANIZACJA
Instytut Polonistyki Stosowanej	ORGANIZACJA
Kuratorium Oświaty	ORGANIZACJA
Liceum Ogólnokształcącego im. C.K. Norwida	ORGANIZACJA
Międzynarodowy Festiwal Opowiadania	WYDARZENIE
Moi przyjaciele	TYTUŁ
Nagroda Kulturalna Śląska	NAGRODA
Nagroda Miast Partnerskich Torunia i Getyngi im. S.B. Lindego	NAGRODA
Ośrodek Metodyczny	ORGANIZACJA
Polski PEN Club	ORGANIZACJA
Poradnia Zdrowia Psychicznego	ORGANIZACJA
Społeczna Rada Kultury	ORGANIZACJA
Uniwersytet Warszawski	ORGANIZACJA
Uniwersytet Środkowoeuropejski	ORGANIZACJA
Zakład Edukacji Literackiej	ORGANIZACJA
Zakład Teorii Lektury i Metodyki Literatury	ORGANIZACJA
Zielona Góra	MIASTO
Światowy Dzień Poezji	WYDARZENIE
Świąteczne zabijanie ryby	TYTUŁ
